Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=b10876bfa3329540,[SNOW] 렌더링 엔진 개발자,성남 분당구,,"토링, 디자인 패턴, ReactiveX 활용 경험- Java, Swift(Objective C), Lua, Python 등 다양한 언어 경험- Computer Graphics 이해- Image Processing 이해 인터넷..."
https://kr.indeed.com/viewjob?jk=214a6d00cee6b791,"백엔드개발, IoT 시스템 데이터 플랫폼 개발자 채용",성남 야탑동,,"Spring, node.js, python 프레임워크를 활용한 서버 개발... Python, linux, pandas, sql 등 - IoT : Wifi 기술 및 임베디드 관련 기술 / C++, java, Python 등..."
https://kr.indeed.com/viewjob?jk=0c32e6464cad3b0a,[카카오 클라우드]DBaaS(DataBase As A Service) 개발자 모집,성남 판교역,,"및 유지 보수 지원자격 필수 자격 협업을 우선 가치로 유연한 커뮤니케이션이 가능하신 분 golang, python 등으로 API 기반 서비스를 구현해본 경험이 있으신 분 서비스 요구 사항을 기능으로 구현할 수 있는 분..."
https://kr.indeed.com/viewjob?jk=964d17313651d069,퀀트연구원,서울,,파트너즈그룹 정대석대표입니다.아래와 같이 우수 인재 영입건 있어 공지하오니 관심 있으신분 연락바랍니다. 인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>데이터분석|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
https://kr.indeed.com/viewjob?jk=9aa0c86db377dd5f,Computer Vision Engineer,성남 삼평동,,"자격요건 - 학력 : 학사이상 - 경력 : 신입, 3~년 - 성별 : 무관 - 연령 : 무관 ㆍ Python 언어 숙련자 ㆍPytorch, Tensorflow 등의 딥러닝 이브러리 사용 경험 ㆍDeep Learning..."
https://kr.indeed.com/viewjob?jk=201615adca315f65,[신규프로젝트] 디지털셀럽 컨텐츠 개발 TA 모집,성남 판교역,,"제작 및 관리 Skill 우대사항 - 일정 수준 이상의 영어 스킬(기술문서 독해 및 청취 가능 여부) - Python, C Sharp, 등을 이용한 Script & Tool 제작 Skill - 프로젝트 개발 전반에 걸친..."
https://kr.indeed.com/viewjob?jk=1961a1ecccb03336,[NIT Service] 네이버 파이낸셜 플랫폼 운영,성남 분당구,,"및 어플리케이션 배포 전략 지식 보유 - Shell script, python 및 web framework 등 기타 프로그래밍 언어 활용 가능... 보유 - Shell script, python 및 web framework..."
https://kr.indeed.com/viewjob?jk=77fb5fefe9c40fe3,[NAVER Cloud] 네이버 클라우드 빅데이터플랫폼 상품 개발,성남 분당구,,"우드 빅데이터플랫폼 상품 개발 및 운영[지원자격/필요역량]- Back-End 개발 경력 2년 이상 - Java, Python,Go 중 한가지 언어를 능숙하게 사용할 수 있는 능력- Hadoop 및 Hadoop ecosystem..."
https://kr.indeed.com/viewjob?jk=5fa9048547400894,[웹젠] DBA(신입),성남 분당구,,로운 기술과 도전을 좋아하는 분 - Data에 대한 관심이 높은 분 - Python 프로그램 경험이 있는 분 • 기타 - 수시채용은 공고 게시 중에도... 에 대한 관심이 높은 분 - Python 프로그램 경험이 있는 분 • 기타...
https://kr.indeed.com/viewjob?jk=a2b38b230474e622,카카오 전사 QA 모집,성남 판교역,,"협업도구 (JIRA, Github 등)에 대한 경험이 있으신 분 테스트자동화 설계경험자 혹은 스크립트 언어( python, java, javascript 등) 가능자 긍정적인 마인드와 유연한 커뮤니케이션 능력 보유 능동적이고..."
